iter	Passed	Remaining
749	7798	12996
750	7808	12986
751	7818	12975
752	7828	12964
753	7837	12952
754	7848	12942
755	7858	12931
756	7869	12921
757	7879	12910
758	7889	12899
759	7898	12886
760	7908	12875
761	7918	12865
762	7928	12853
763	7938	12843
764	7949	12833
765	7960	12824
766	7972	12815
767	7982	12804
768	7991	12793
769	8001	12781
770	8011	12770
771	8021	12759
772	8031	12748
773	8041	12737
774	8050	12724
775	8060	12713
776	8070	12703
777	8080	12692
778	8091	12682
779	8102	12672
780	8112	12661
781	8121	12649
782	8131	12639
783	8142	12629
784	8151	12617
785	8161	12606
786	8172	12596
787	8182	12585
788	8192	12574
789	8202	12563
790	8213	12554
791	8224	12543
792	8234	12533
793	8244	12522
794	8254	12511
795	8266	12504
796	8279	12496
797	8290	12487
798	8301	12477
799	8311	12466
800	8321	12456
801	8331	12445
802	8342	12436
803	8353	12426
804	8364	12416
805	8375	12407
806	8386	12398
807	8397	12387
808	8407	12377
809	8417	12366
810	8428	12356
811	8439	12346
812	8449	12336
813	8460	12326
814	8470	12316
815	8481	12305
816	8491	12294
817	8501	12284
818	8511	12273
819	8521	12262
820	8531	12251
821	8541	12241
822	8552	12231
823	8563	12221
824	8573	12210
825	8583	12199
826	8593	12188
827	8603	12177
828	8613	12166
829	8623	12155
830	8634	12146
831	8644	12136
832	8655	12126
833	8666	12115
834	8677	12107
835	8690	12100
836	8702	12092
837	8714	12083
838	8724	12072
839	8735	12063
840	8747	12055
841	8757	12044
842	8769	12035
843	8779	12025
844	8791	12016
845	8803	12007
846	8814	11998
847	8825	11989
848	8846	11993
849	8856	11981
850	8865	11970
851	8875	11959
852	8886	11948
853	8897	11939
854	8908	11929
855	8917	11918
856	8928	11907
857	8938	11896
858	8949	11887
859	8959	11876
860	8970	11866
861	8980	11855
862	8990	11845
863	9001	11835
864	9012	11826
865	9023	11815
866	9034	11805
867	9045	11796
868	9055	11785
869	9065	11775
870	9075	11763
871	9085	11752
872	9095	11741
873	9105	11730
874	9115	11720
875	9126	11710
876	9137	11700
877	9147	11690
878	9158	11679
879	9168	11668
880	9178	11657
881	9188	11647
882	9199	11637
883	9212	11630
884	9243	11646
885	9252	11633
886	9262	11622
887	9272	11611
888	9283	11601
889	9293	11591
890	9304	11581
891	9315	11571
892	9327	11562
893	9337	11551
894	9347	11540
895	9357	11529
896	9368	11519
897	9379	11510
898	9390	11500
899	9400	11489
900	9410	11478
901	9420	11467
902	9431	11457
903	9441	11446
904	9451	11436
905	9462	11425
906	9472	11415
907	9483	11405
908	9493	11394
909	9503	11383
910	9513	11372
911	9525	11363
912	9538	11356
913	9549	11346
914	9559	11335
915	9569	11324
916	9579	11313
917	9589	11303
918	9599	11291
919	9609	11280
920	9619	11270
921	9629	11258
922	9639	11248
923	9650	11238
924	9661	11228
925	9672	11217
926	9682	11207
927	9692	11196
928	9703	11186
929	9713	11175
930	9723	11165
931	9734	11154
932	9744	11144
933	9755	11133
934	9765	11123
935	9776	11112
936	9786	11102
937	9796	11091
938	9807	11081
939	9817	11070
940	9827	11059
941	9838	11050
942	9850	11040
943	9861	11031
944	9873	11022
945	9885	11014
946	9896	11004
947	9907	10994
948	9919	10985
949	9931	10976
950	9943	10968
951	9955	10959
952	9966	10950
953	9977	10939
954	9987	10928
955	9998	10918
956	10008	10907
957	10021	10900
958	10030	10888
959	10040	10877
960	10051	10867
961	10062	10857
962	10072	10846
963	10083	10836
964	10093	10825
965	10103	10815
966	10114	10804
967	10124	10793
968	10134	10782
969	10144	10771
970	10153	10760
971	10164	10750
972	10175	10739
973	10185	10728
974	10194	10717
975	10204	10706
976	10215	10695
977	10225	10685
978	10237	10676
979	10247	10665
980	10258	10655
981	10268	10644
982	10278	10633
983	10288	10622
984	10298	10612
985	10309	10602
986	10321	10593
987	10333	10584
988	10343	10573
989	10354	10563
990	10365	10554
991	10376	10543
992	10386	10533
993	10397	10522
994	10407	10512
995	10418	10501
996	10428	10490
997	10438	10480
998	10448	10468
999	10458	10458
1000	10469	10448
1001	10479	10437
1002	10489	10426
